year,stir,ltrate,debtgdp,revenue,expenditure,bond_rate
1870,5.72,5.43,0.311885945,0.411,0.31,0.054335564
1871,5.56,5.36,0.302942205,0.384,0.292,0.053566668
1872,8.38,5.56,0.265975569,0.374,0.278,0.055616666
1873,14.24,5.48,0.24343216,0.334,0.29,0.054791667
1874,3.43,5.10,0.25224022,0.305,0.303,0.051033333
1875,3.11,4.63,0.261715864,0.288,0.275,0.046300001
1876,3.35,4.46,0.25403505,0.294,0.265,0.044616666
1877,3.87,4.35,0.24497443,0.281,0.241,0.043491665
1878,4.22,4.23,0.255250355,0.268,0.237,0.042300001
1879,5.44,4.04,0.243296963,0.279,0.267,0.040366668
1880,4.86,3.73,0.199857484,0.334,0.268,0.037266668
1881,5.76,3.63,0.172000511,0.361,0.261,0.036266666
1882,4.78,3.63,0.150589247,0.404,0.258,0.036291666
1883,3.71,3.62,0.138476799,0.398,0.265,0.036208332
1884,3.03,3.53,0.136626345,0.348,0.244,0.035283335
1885,1.66,3.38,0.134861256,0.324,0.26,0.033824999
1886,4.03,3.51,0.126507278,0.336,0.242,0.035075001
1887,5.01,3.66,0.110410985,0.371,0.268,0.036575001
1888,2.51,3.47,0.098902286,0.379,0.268,0.034683332
1889,4.48,3.42,0.089330879,0.387,0.299,0.034224998
1890,5.84,3.60,0.073730342,0.403,0.318,0.036033332
1891,3.42,3.60,0.064648862,0.392,0.356,0.036016665
1892,3.08,3.74,0.058630193,0.355,0.345,0.037374999
1893,4.57,3.70,0.061768084,0.386,0.383,0.037041668
1894,1.07,3.48,0.071211345,0.306,0.367,0.0348
1895,1.88,3.59,0.069627904,0.325,0.356,0.035883334
1896,4.28,3.42,0.07816461,0.338,0.352,0.034166668
1897,1.75,3.35,0.075221902,0.348,0.366,0.033541668
1898,2.18,3.12,0.06749948,0.405,0.442,0.031208333
1899,5.08,3.15,0.072951203,0.516,0.605,0.031458333
1900,2.94,3.10,0.060840653,0.557,0.52,0.031041667
1901,4.00,3.17,0.054330724,0.587,0.524,0.031733334
1902,5.15,3.29,0.048490615,0.562,0.485,0.032900002
1903,3.71,3.39,0.044285943,0.562,0.517,0.033916667
1904,1.78,3.47,0.043823627,0.541,0.584,0.034733333
1905,4.44,3.43,0.03895813,0.544,0.567,0.034341667
1906,6.54,3.65,0.036460397,0.595,0.57,0.036499999
1907,7.01,3.85,0.033564808,0.666,0.579,0.038533334
1908,1.92,3.77,0.038710515,0.602,0.659,0.037691668
1909,2.71,3.90,0.035289336,0.604,0.694,0.038975
1910,2.98,3.97,0.033987436,0.676,0.694,0.039741665
1911,2.57,4.01,0.033280029,0.702,0.691,0.040075
1912,3.52,4.41,0.031761531,0.693,0.69,0.044133332
1913,3.22,4.18,0.030190753,0.714,0.715,0.041841667
1914,3.43,4.23,0.032261817,0.725,0.726,0.042333335
1915,1.92,4.07,0.030507683,0.683,0.746,0.040658332
1916,2.62,4.22,0.024445717,0.761,0.713,0.042149998
1917,3.43,4.54,0.049364926,1.101,1.954,0.045416668
1918,5.28,4.51,0.159907388,3.645,12.677,0.045058332
1919,6.32,4.93,0.32219034,5.13,18.493,0.049308334
1920,7.74,5.08,0.272273502,6.649,6.358,0.050799999
1921,5.97,4.37,0.322650523,5.571,5.062,0.043658335
1922,4.29,4.36,0.309729997,4.026,3.289,0.04355
1923,4.86,4.09,0.259163095,3.853,3.14,0.040849999
1924,3.08,3.88,0.242075194,3.871,2.908,0.038766667
1925,4.18,3.70,0.224345745,3.641,2.924,0.03695
